,,Overall,,,,,,,Conf.,,,Home,,,Away,,,Points,,,Opponent Advanced,,,,,,,,,,,,
Rk,School,G,W,L,W-L%,SRS,SOS,,W,L,,W,L,,W,L,,Tm.,Opp.,,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA
1,Air Force,32,18,14,0.563,4.06,4.16,,8,8,,13,2,,3,11,,2241,2170,,64.8,104.2,0.365,0.413,0.543,54.2,59.9,8.6,10.2,0.515,17.1,33.4,0.246
2,Akron NCAA,33,26,7,0.788,8.12,0.18,,14,2,,15,1,,7,4,,2369,2071,,66.4,93.1,0.344,0.297,0.486,48.1,49.5,10.3,8.1,0.443,17.4,33.2,0.245
3,Alabama,36,23,13,0.639,9.82,5.96,,12,6,,16,4,,4,8,,2268,2102,,62.3,92.8,0.325,0.322,0.491,53.4,48.1,8.9,10.4,0.454,19.6,37,0.226
4,Alabama A&M,31,11,20,0.355,-18.41,-9.82,,6,12,,7,6,,3,12,,1957,2160,,67.4,102.1,0.373,0.266,0.523,53.1,49.8,10.8,8.7,0.493,15.7,35.4,0.246
5,Alabama State,32,10,22,0.313,-17.9,-9.03,,8,10,,7,5,,3,14,,1979,2231,,67,103.2,0.379,0.342,0.523,53.3,54.9,11.7,8.3,0.491,16.7,38.5,0.252
6,Albany (NY) NCAA,35,24,11,0.686,-0.86,-4.51,,9,7,,11,4,,11,5,,2251,2123,,62.8,96.3,0.278,0.346,0.507,51.1,46.6,9.6,10.1,0.483,17.3,32.4,0.182
7,Alcorn State,34,10,24,0.294,-14.27,-7.11,,8,10,,5,8,,4,14,,2055,2248,,69,95.4,0.468,0.325,0.49,54.7,49.6,9.8,9,0.445,16.3,38.1,0.309
8,American,30,10,20,0.333,-8.55,-2.52,,5,9,,7,6,,3,14,,1735,1916,,59.4,106.2,0.279,0.352,0.537,51.4,59.9,10.8,11.1,0.513,13.6,29.7,0.189
9,Appalachian State,31,15,16,0.484,-7.88,-5.74,,10,8,,10,4,,4,11,,2211,2221,,68.3,102.5,0.341,0.294,0.537,52.4,50.1,10.6,8.6,0.505,17,33.7,0.236
10,Arizona NCAA,35,27,8,0.771,17.31,7.48,,12,6,,14,2,,7,4,,2570,2226,,66.8,94.9,0.329,0.309,0.504,47.3,49.2,9.2,9.3,0.466,17.4,29.2,0.234
11,Arizona State,35,22,13,0.629,8.82,4.57,,9,9,,16,4,,4,7,,2512,2363,,67.5,98.3,0.266,0.321,0.5,51.7,52.1,10,9.3,0.464,15.5,32.3,0.197
12,Arkansas,32,19,13,0.594,9.83,4.99,,10,8,,17,1,,1,9,,2358,2203,,70.6,96.8,0.444,0.328,0.527,54.1,51.5,7.4,9.5,0.492,21.2,36.9,0.293
13,Arkansas State,31,19,12,0.613,0.79,-4.34,,12,8,,13,2,,5,9,,2127,1944,,66.3,92,0.352,0.313,0.5,51.3,47.5,9.2,8.3,0.464,20.3,33.7,0.239
14,Arkansas-Pine Bluff,30,16,14,0.533,-12.21,-8.28,,15,3,,9,0,,6,12,,1880,1998,,68.7,96.5,0.377,0.407,0.507,54.7,65.4,10.5,8.2,0.469,19.8,38.7,0.257
15,Army,31,16,15,0.516,-1.48,-4.51,,8,6,,9,4,,6,10,,2245,2112,,67.8,99.3,0.366,0.352,0.514,50.6,54.5,9.9,10.2,0.479,16.3,32.6,0.249
16,Auburn,32,9,23,0.281,0.23,4.2,,3,15,,7,10,,1,9,,2074,2201,,66.6,101.3,0.43,0.388,0.532,53.5,58.4,9.7,9.8,0.497,17.2,33.5,0.288
17,Austin Peay,31,8,23,0.258,-12.31,-4.28,,4,12,,5,8,,2,12,,2218,2371,,69.7,107.6,0.285,0.324,0.542,53.8,56,12.2,8.4,0.512,15.6,37.4,0.205
18,Ball State,30,15,15,0.5,-6.7,-3.14,,8,8,,8,8,,7,6,,1957,2041,,65.8,103.5,0.362,0.352,0.543,49,58.8,11.3,8.7,0.508,17.1,32,0.257
19,Baylor,37,23,14,0.622,15.07,7.12,,9,9,,15,5,,4,7,,2811,2456,,68.4,96.3,0.324,0.296,0.489,50.3,53.1,9.2,8.3,0.452,16.1,34.9,0.224
20,Belmont NCAA,33,26,7,0.788,10.41,-0.92,,14,2,,13,0,,9,4,,2533,2129,,68.1,94.4,0.372,0.372,0.517,53.2,54.6,9.4,11.8,0.477,21.8,36.8,0.264
21,Bethune-Cookman,34,14,20,0.412,-9.51,-6.41,,7,9,,9,4,,2,14,,2283,2318,,67.2,100.7,0.475,0.304,0.545,53.4,57.1,8.8,9.2,0.506,19.7,35.1,0.323
22,Binghamton,30,3,27,0.1,-18.51,-3.68,,1,15,,2,12,,1,14,,1676,2081,,66.2,104.8,0.315,0.406,0.53,54.6,60.9,11.8,6.1,0.509,14.8,33.9,0.2
23,Boise State NCAA,32,21,11,0.656,9.38,5.21,,9,7,,14,1,,5,8,,2343,2095,,66.3,98.3,0.407,0.384,0.541,48.9,56.6,8.7,8.1,0.502,18.2,26.5,0.287
24,Boston College,33,16,17,0.485,6.11,7.04,,7,11,,12,6,,3,7,,2215,2246,,64,105.9,0.291,0.323,0.538,53,48.7,8.9,9,0.511,15.4,33.3,0.203
25,Boston University,30,17,13,0.567,-0.58,-3.92,,11,5,,9,3,,7,9,,2035,1935,,65.5,97.7,0.332,0.326,0.514,54.9,50.1,8.9,9.3,0.474,18.4,34.6,0.241
26,Bowling Green State,32,13,19,0.406,-3.32,-1.75,,7,9,,11,5,,1,12,,2010,2033,,63.9,97.8,0.335,0.312,0.513,52.5,53.5,11.4,7.4,0.479,17.5,33.9,0.23
27,Bradley,35,18,17,0.514,1.25,1.96,,7,11,,14,4,,4,10,,2371,2396,,66.1,102.8,0.353,0.371,0.548,53.7,57.2,8.7,8.2,0.51,18.8,35,0.261
28,Brigham Young,36,24,12,0.667,10.63,3.72,,10,6,,15,3,,7,5,,2777,2502,,71.1,97.8,0.369,0.352,0.514,49.6,57.9,8.8,8,0.479,16.8,30.2,0.249
29,Brown,28,13,15,0.464,-6.32,-3.02,,7,7,,8,5,,5,10,,1748,1800,,63.7,98.8,0.33,0.345,0.518,50.1,54.9,11.6,9,0.488,16.3,29.1,0.222
30,Bryant,31,19,12,0.613,-2.07,-4.71,,12,6,,11,5,,8,7,,2294,2212,,67,106.1,0.302,0.393,0.544,51.6,55.5,10.1,11.2,0.518,15.3,33.3,0.209
31,Bucknell NCAA,34,28,6,0.824,6.96,-1.95,,12,2,,14,1,,12,4,,2277,1966,,62.6,92.3,0.291,0.309,0.463,47.7,48.9,7.2,5.8,0.425,12.6,26.5,0.205
32,Buffalo,34,14,20,0.412,-1.94,-0.34,,7,9,,9,6,,4,10,,2275,2287,,65,102.8,0.365,0.314,0.514,49.4,52.3,11.3,9.5,0.472,14.9,34.9,0.262
33,Butler NCAA,36,27,9,0.75,11.01,6.09,,11,5,,14,2,,7,4,,2495,2299,,64.9,98.1,0.355,0.31,0.508,46.6,49.2,10,9.1,0.468,15.2,28.9,0.25
34,Cal Poly,32,18,14,0.563,-0.77,-0.94,,12,6,,13,1,,4,12,,2074,2020,,60,104.3,0.368,0.345,0.554,51.8,58.9,6.5,10.4,0.523,17.3,31.2,0.256
35,Cal State Bakersfield,30,14,16,0.467,-6.49,-2.22,,,,,9,4,,3,11,,2041,2070,,67.7,100.3,0.487,0.346,0.551,52.8,56,9,9.3,0.51,19.7,32.9,0.338
36,Cal State Fullerton,32,14,18,0.438,-3.27,-3.33,,6,12,,6,7,,6,10,,2451,2381,,70.2,105.9,0.355,0.32,0.561,57.4,58.3,8.1,8.6,0.533,19.5,39.8,0.245
37,Cal State Northridge,31,14,17,0.452,-4.18,-2.22,,5,13,,6,7,,5,10,,2333,2309,,71.5,104.1,0.383,0.36,0.566,50,56.5,9.5,8.6,0.535,19.4,33.5,0.267
38,California NCAA,33,21,12,0.636,10.59,7.71,,12,6,,11,5,,6,5,,2218,2123,,66.5,96.4,0.325,0.293,0.48,50,51.1,8.9,7.2,0.443,14.3,33.2,0.223
39,Campbell,33,13,20,0.394,-10.23,-5.53,,7,9,,8,8,,4,9,,2284,2395,,67.7,104.8,0.378,0.324,0.539,54.1,56.7,10.4,7.4,0.506,17.4,39.4,0.26
40,Canisius,34,20,14,0.588,2.38,-0.98,,11,7,,12,4,,8,9,,2499,2385,,66.8,104.2,0.324,0.365,0.536,51.4,59.6,9.9,10.3,0.504,17,36.6,0.23
41,Central Arkansas,30,13,17,0.433,-10.89,-6.14,,7,11,,8,7,,5,8,,2294,2359,,73.2,104.9,0.403,0.272,0.533,54.1,56.2,9.9,8.7,0.504,16.8,40,0.262
42,Central Connecticut State,30,13,17,0.433,-8.23,-4.03,,9,9,,6,6,,7,10,,2186,2312,,70.7,107.2,0.293,0.352,0.541,57.4,55.8,8.1,7.4,0.517,16,40,0.198
43,Central Michigan,31,11,20,0.355,-6.15,-1.22,,4,12,,6,6,,2,13,,2092,2226,,65.5,108.8,0.339,0.356,0.568,55.3,57.8,9.1,13,0.544,17.3,37.7,0.23
44,Charleston Southern,32,19,13,0.594,-1.92,-5.48,,12,4,,11,3,,6,9,,2361,2144,,68.1,97.6,0.291,0.365,0.511,50.1,50.1,8.7,11.1,0.479,17.3,32.5,0.207
45,Charlotte,33,21,12,0.636,2.72,2.78,,8,8,,12,3,,5,7,,2229,2231,,68.2,98.4,0.393,0.362,0.512,49.4,51,10.9,9.4,0.469,17.4,34.4,0.277
46,Chattanooga,32,13,19,0.406,-10.43,-4.93,,8,10,,8,9,,4,9,,2218,2318,,68.8,104.4,0.324,0.434,0.558,49.4,65.9,10.8,9.3,0.531,17.3,30.6,0.226
47,Chicago State,33,11,22,0.333,-11.79,-4.92,,3,5,,8,5,,2,16,,2151,2276,,68.2,99.2,0.46,0.337,0.545,54.9,56.6,10,8.5,0.503,20.9,36.4,0.322
48,Cincinnati NCAA,34,22,12,0.647,14.47,6.94,,9,9,,13,5,,4,5,,2262,2006,,64.9,89.9,0.327,0.304,0.469,48.3,53.8,8.8,8.8,0.433,17.4,33.4,0.218
49,Clemson,31,13,18,0.419,5.85,4.46,,5,13,,8,7,,3,9,,1907,1864,,62.2,96.6,0.329,0.305,0.5,52.1,52.9,8.8,7.6,0.468,17.4,34.7,0.22
50,Cleveland State,32,14,18,0.438,-7.33,-0.16,,5,11,,9,5,,3,13,,2051,2226,,65.4,105.9,0.433,0.338,0.567,54.1,62.5,10,10.3,0.522,18.9,36.8,0.323
51,Coastal Carolina,29,14,15,0.483,-5.56,-5.18,,9,7,,12,4,,2,11,,1943,1840,,65.6,96.2,0.381,0.419,0.521,48.5,55.2,9.3,7.6,0.484,20.2,34.2,0.264
52,Colgate,32,11,21,0.344,-8.72,-2.57,,5,9,,7,5,,3,16,,2033,2230,,66.4,104.6,0.33,0.344,0.524,52.2,53.9,9.7,8.2,0.491,13.2,29.5,0.23
53,College of Charleston,35,24,11,0.686,0.2,-3.83,,14,4,,10,7,,11,2,,2297,2176,,63.8,97.4,0.263,0.292,0.486,48.2,42.4,11.1,7.8,0.452,13.3,30.2,0.189
54,Colorado NCAA,33,21,12,0.636,11.91,7.91,,10,8,,12,3,,5,7,,2230,2098,,65.7,95.4,0.253,0.365,0.488,49.8,46.8,10.1,10.1,0.459,16.5,33.1,0.175
55,Colorado State NCAA,35,26,9,0.743,13.6,5.84,,11,5,,16,1,,6,6,,2553,2229,,64.5,98.3,0.364,0.371,0.513,43.1,43.8,8,8,0.477,14.9,25.9,0.249
56,Columbia,28,12,16,0.429,-3.24,-3.47,,4,10,,6,7,,5,9,,1746,1694,,61.3,98.7,0.396,0.29,0.528,51.5,50.9,7.9,11.3,0.489,17.8,29.4,0.279
57,Connecticut,30,20,10,0.667,11.89,7.42,,10,8,,13,3,,4,5,,2096,1962,,64.9,97.2,0.31,0.31,0.488,55.6,51,10,10.2,0.453,16.8,40.1,0.214
58,Coppin State,32,8,24,0.25,-12.64,-4.19,,5,11,,4,7,,4,15,,2035,2277,,69.3,101,0.375,0.367,0.529,58.8,57.9,10.5,12.8,0.499,19.7,43.6,0.248
59,Cornell,31,13,18,0.419,-7.25,-2.35,,5,9,,4,10,,7,8,,2040,2168,,67.2,104.1,0.366,0.363,0.564,53,58.8,9.6,11.3,0.531,18.3,30.2,0.263
60,Creighton NCAA,36,28,8,0.778,16.43,5.15,,13,5,,15,2,,7,5,,2680,2274,,65,97.2,0.261,0.332,0.488,48.4,51.1,10.2,7.8,0.459,13.9,29.2,0.178
61,Dartmouth,28,9,19,0.321,-9.2,-3.16,,5,9,,6,7,,3,12,,1719,1844,,64.1,102.3,0.415,0.334,0.547,53.4,54,10.1,11.1,0.501,18.6,33.3,0.308
62,Davidson NCAA,34,26,8,0.765,7.3,-3.43,,17,1,,12,1,,9,4,,2490,2110,,64.8,95.5,0.368,0.264,0.497,50.7,41,8.5,8.8,0.452,16.3,30.7,0.264
63,Dayton,31,17,14,0.548,9.37,4.28,,7,9,,13,4,,2,8,,2225,2067,,66.4,99.7,0.375,0.329,0.53,49.2,59.9,8.8,10.3,0.492,18.3,33.2,0.264
64,Delaware,33,19,14,0.576,-0.76,-0.79,,13,5,,9,4,,8,7,,2276,2275,,66.6,101.9,0.33,0.311,0.499,50.2,51.4,10.3,7.5,0.465,13.5,34,0.224
65,Delaware State,33,15,18,0.455,-11.18,-5.89,,8,8,,8,3,,5,12,,1997,2094,,62.3,100,0.321,0.287,0.513,54.7,57.3,10.8,9.7,0.482,18.2,40.8,0.218
66,Denver,32,22,10,0.688,9.18,0.24,,16,2,,14,2,,8,7,,2076,1790,,59.7,93.3,0.41,0.245,0.52,57.8,44.3,8,8.6,0.473,22.6,37.3,0.296
67,DePaul,32,11,21,0.344,1.71,5.61,,2,16,,7,10,,4,8,,2284,2409,,71.4,104.2,0.362,0.255,0.547,55.7,53.2,11.2,10.2,0.515,18.4,40.1,0.251
68,Detroit Mercy,33,20,13,0.606,6.72,1.62,,12,4,,13,2,,7,10,,2568,2340,,70.1,101.1,0.352,0.337,0.559,52.7,51.7,7.5,9.6,0.527,20.5,34,0.25
69,Drake,32,15,17,0.469,3.42,5.13,,7,11,,9,6,,4,7,,2296,2319,,68.5,104.6,0.387,0.356,0.553,54.2,56.4,11,10.3,0.509,16.6,31.3,0.291
70,Drexel,31,13,18,0.419,-1.06,-0.96,,9,9,,5,9,,7,6,,1953,1956,,61.4,100.8,0.434,0.31,0.534,49.4,48.1,9.1,9.5,0.487,16.6,28.6,0.314
71,Duke NCAA,36,30,6,0.833,21.46,9.57,,14,4,,16,0,,5,4,,2778,2350,,68.2,95.7,0.327,0.269,0.496,52.7,40,7.3,8.1,0.455,17.5,34.7,0.237
72,Duquesne,30,8,22,0.267,-4.52,3.51,,1,15,,6,9,,2,12,,2028,2269,,69.4,108.1,0.328,0.345,0.541,54.1,58.8,10.3,11.3,0.515,14.8,36.9,0.222
73,East Carolina,35,23,12,0.657,2.57,0.82,,9,7,,17,4,,6,7,,2679,2484,,70,100.4,0.315,0.269,0.504,53.2,58.7,9,9.3,0.475,16.2,37.3,0.211
74,East Tennessee State,32,10,22,0.313,-11.53,-2.11,,8,10,,5,8,,5,11,,1994,2284,,66.1,107.5,0.324,0.431,0.562,56.7,65.4,10.9,9.9,0.537,18.3,38.2,0.222
75,Eastern Illinois,32,11,21,0.344,-8.92,-5.08,,6,10,,5,9,,4,11,,1933,2055,,60.7,105.4,0.379,0.404,0.568,53,61.4,10.1,12.1,0.54,18.9,33.3,0.261
76,Eastern Kentucky,35,25,10,0.714,1.7,-3.88,,12,4,,15,1,,9,8,,2586,2303,,65.6,99.5,0.434,0.341,0.551,56.9,58.9,9.7,10.8,0.506,22.7,40.5,0.318
77,Eastern Michigan,34,16,18,0.471,-6.25,-1.25,,7,9,,13,5,,2,12,,1926,2011,,61,96.6,0.357,0.441,0.495,53.6,72.8,12.3,6.6,0.463,19.3,41,0.234
78,Eastern Washington,31,10,21,0.323,-10.87,-5.58,,7,13,,7,7,,2,13,,2146,2310,,68.4,107.2,0.362,0.286,0.518,54.8,61.2,10.5,11.8,0.481,13.3,38.1,0.254
79,Elon,33,21,12,0.636,-3.55,-5.16,,13,5,,12,3,,8,8,,2273,2144,,66.7,96.3,0.358,0.304,0.502,53.4,48.9,9.6,6.3,0.464,17.1,32,0.248
80,Evansville,36,21,15,0.583,5.26,2.91,,10,8,,15,3,,5,11,,2490,2374,,65.7,99.3,0.352,0.331,0.537,52.8,54.7,8.6,9,0.506,19,32.5,0.242
81,Fairfield,35,19,16,0.543,-0.53,-1.99,,9,9,,6,5,,8,10,,2122,2071,,62,94.7,0.456,0.243,0.495,51.9,42.6,11.3,10.5,0.444,18.5,35.8,0.316
82,FDU,31,7,24,0.226,-17.99,-4.64,,2,16,,2,10,,3,14,,2034,2448,,69.2,113.3,0.357,0.323,0.556,58.8,58.8,12.2,8.2,0.526,14.6,42.9,0.248
83,Florida NCAA,37,29,8,0.784,23.88,6.85,,14,4,,15,0,,7,5,,2642,2012,,62.9,86.4,0.299,0.328,0.464,48.6,50.9,9.3,7.9,0.433,19.4,31,0.195
84,Florida A&M,31,8,23,0.258,-16.11,-6.17,,5,11,,6,4,,1,17,,2015,2235,,70.2,101.1,0.412,0.294,0.533,56.8,53,10.6,10.2,0.499,19.4,42.6,0.276
85,Florida Atlantic,32,14,18,0.438,-5.84,-2.45,,9,11,,11,4,,3,13,,2092,2164,,66.3,100.5,0.362,0.287,0.493,52,46,11.2,10.1,0.454,14.4,37.1,0.248
86,Florida Gulf Coast NCAA,37,26,11,0.703,3.01,-1.82,,13,5,,15,1,,6,9,,2696,2469,,69.5,95,0.332,0.379,0.5,51.7,55.8,10.3,8.3,0.465,19,35.4,0.228
87,Florida International,32,18,14,0.563,-2.05,-2.08,,11,9,,10,3,,6,10,,2210,2209,,69.6,99.2,0.371,0.367,0.541,55.3,58.8,9.5,11.2,0.511,21.8,39.8,0.25
88,Florida State,34,18,16,0.529,5.71,7.26,,9,9,,10,8,,3,7,,2278,2331,,66.3,103.4,0.348,0.324,0.53,54.4,53.7,10.8,8.6,0.497,17.5,40,0.241
89,Fordham,31,7,24,0.226,-6.88,4.6,,3,13,,4,7,,1,15,,1997,2353,,68.8,110.3,0.448,0.351,0.55,50.6,58.8,11.6,9.7,0.51,13.9,35,0.313
90,Fresno State,30,11,19,0.367,3.19,6.44,,5,11,,6,8,,5,10,,1798,1829,,62.1,97.4,0.471,0.305,0.503,55.5,52,7.7,10.8,0.456,18,38.1,0.318
91,Furman,31,7,24,0.226,-17.42,-5.25,,3,15,,5,9,,1,14,,1869,2180,,64.7,108.7,0.294,0.306,0.547,54.9,57.4,11.4,7.5,0.519,15.2,36.8,0.209
92,Gardner-Webb,34,21,13,0.618,-3.17,-5.88,,11,5,,12,3,,6,9,,2236,2066,,64.2,92.9,0.343,0.326,0.505,50.1,51,10.4,7.6,0.477,20.6,34.1,0.221
93,George Mason,38,22,16,0.579,2.03,-0.15,,10,8,,10,7,,8,6,,2587,2504,,65.8,99.1,0.445,0.359,0.519,51.8,53.5,8.8,9,0.473,18.6,37.5,0.312
94,George Washington,30,13,17,0.433,4.24,3.51,,7,9,,7,7,,5,9,,1988,1966,,68.1,95.9,0.327,0.292,0.508,48.7,49.5,13.9,9.9,0.474,18.4,34.1,0.227
95,Georgetown NCAA,32,25,7,0.781,15.86,7.61,,14,4,,16,1,,6,3,,2070,1806,,62.4,89,0.353,0.34,0.469,51.6,56.7,10,9.6,0.43,19.1,34.1,0.235
96,Georgia,32,15,17,0.469,5.39,6.17,,9,9,,12,6,,3,8,,1946,1971,,62.4,97.1,0.379,0.375,0.49,50.2,49,12,9.7,0.45,15.7,33,0.258
97,Georgia Southern,33,14,19,0.424,-9.62,-4.98,,7,11,,7,6,,5,11,,2050,2148,,63.1,102.1,0.375,0.34,0.529,53.7,50.5,10.2,8.7,0.493,17.8,37.1,0.26
98,Georgia State,31,15,16,0.484,-2.01,-2.38,,10,8,,9,7,,6,9,,2114,2075,,64.1,103.1,0.366,0.401,0.544,53.8,60,8.2,11.4,0.509,18.1,35.3,0.258
99,Georgia Tech,31,16,15,0.516,6.62,4.69,,6,12,,11,6,,3,7,,1993,1933,,66.3,93.7,0.33,0.328,0.487,49.9,55.7,9.3,10.5,0.454,16.5,30.6,0.22
100,Gonzaga NCAA,35,32,3,0.914,20.44,4.14,,16,0,,15,1,,10,1,,2696,2095,,65.3,91.7,0.294,0.387,0.482,46.7,47.6,9.5,8.5,0.449,18.1,32.2,0.2
101,Grambling,28,0,28,0,-35.87,-9.19,,0,18,,0,9,,0,18,,1391,2138,,65.6,116.3,0.349,0.335,0.545,60.5,56.5,15.5,10.7,0.522,12.1,47.1,0.226
102,Green Bay,34,18,16,0.529,1.66,-0.28,,10,6,,12,3,,4,12,,2247,2142,,64.1,97.5,0.332,0.356,0.513,48.7,55.5,11.2,8.2,0.472,16.1,29.1,0.245
103,Hampton,31,14,17,0.452,-9.32,-7.8,,11,5,,7,7,,7,8,,1936,1983,,68.9,91.3,0.425,0.318,0.48,51,49.9,10.1,10.6,0.438,19,35.4,0.277
104,Hartford,31,17,14,0.548,-5.83,-4.7,,10,6,,10,5,,7,8,,1863,1898,,64.2,95.3,0.415,0.312,0.529,56.2,47,10.7,10.7,0.494,21.6,34.7,0.279
105,Harvard NCAA,30,20,10,0.667,3.96,0.17,,11,3,,13,1,,6,8,,2049,1924,,63.9,99.2,0.31,0.283,0.524,53.7,48.8,9.7,9.9,0.488,18.2,34.4,0.225
106,Hawaii,32,17,15,0.531,-3.37,-2.54,,10,8,,13,7,,4,7,,2336,2305,,69.7,103,0.318,0.373,0.523,48.4,55.2,10.5,7.2,0.491,14.8,32.4,0.222
107,High Point,31,17,14,0.548,-4.64,-7.23,,12,4,,10,5,,6,8,,2221,2052,,67.4,97.4,0.397,0.325,0.508,50.3,51.1,8.7,7,0.472,17.5,34.4,0.264
108,Hofstra,32,7,25,0.219,-10.74,-1.9,,4,14,,6,9,,1,14,,1873,2132,,64.9,101.8,0.361,0.33,0.523,53.1,55.9,12.2,12.7,0.484,17.2,37.4,0.256
109,Holy Cross,30,12,18,0.4,-6.12,-2.96,,4,10,,7,5,,4,12,,1834,1929,,62.3,102.8,0.311,0.362,0.51,52.6,56.4,9.1,10.6,0.477,13.5,32.8,0.217
110,Houston,33,20,13,0.606,-0.3,-3.77,,7,9,,14,4,,5,8,,2578,2420,,70.1,101.9,0.337,0.332,0.516,49.9,54.6,9.2,8.1,0.484,15.8,34.1,0.23
111,Houston Christian,31,14,17,0.452,-15.25,-8.1,,3,5,,7,5,,3,12,,1982,2080,,69.6,94.9,0.409,0.263,0.508,52.3,48.1,13.2,9.6,0.465,19.8,35.9,0.285
112,Howard,31,7,24,0.226,-14.41,-5.34,,4,12,,5,7,,2,13,,1615,1868,,62.1,97.1,0.368,0.349,0.505,52.8,52.9,10.7,8.4,0.468,19,38.5,0.25
113,Idaho,30,12,18,0.4,-2.23,0.29,,7,11,,6,8,,6,8,,2050,2079,,63.3,108.5,0.306,0.348,0.536,48.5,47.1,10.5,8.5,0.509,12.2,31.2,0.209
114,Idaho State,30,6,24,0.2,-13.08,-4.94,,5,15,,5,7,,1,14,,1710,1928,,60.4,105.5,0.337,0.385,0.545,57.5,58.8,9.2,9.9,0.517,17.8,38,0.23
115,Illinois NCAA,36,23,13,0.639,13.18,10.04,,8,10,,12,4,,6,6,,2465,2332,,65.5,98.6,0.358,0.355,0.521,53.4,53.3,8.4,9.1,0.485,18.6,36.9,0.251
