Pick Number,Team,Player,Height,Weight,Position,School ,Class
1, Cleveland,Andrew Wiggins,8-Jun,200,SF,Kansas,Fr.
2, Milwaukee,Jabari Parker,9-Jun,240,SF/PF,Duke,Fr.
3, *Philadelphia,Joel Embiid,Jul-00,250,C,Kansas,Fr.
4, Orlando,Dante Exum,6-Jun,196,PG/SG,Australia,Intl.
5, Utah,Aaron Gordon,9-Jun,220,PF,Arizona,Fr.
6, *Boston,Marcus Smart,3-Jun,227,PG,Oklahoma State,So.
7, LA Lakers,Julius Randle,9-Jun,250,PF,Kentucky,Fr.
8, Sacramento,Noah Vonleh,9-Jun,247,PF,Indiana,Fr.
9, *Charlotte,Doug McDermott,7-Jun,220,SF,Creighton,Sr.
10, *Orlando,Nik Stauskas,6-Jun,207,SG,Michigan,So.
11, *Chicago,Elfrid Payton,4-Jun,185,PG,Louisiana Laf...,Jr.
12, *Philadelphia,Rodney Hood,8-Jun,208,SF,Duke,So.
13, *Minnesota,Zach LaVine,6-Jun,180,PG/SG,UCLA,Fr.
14, *Phoenix,Gary Harris,4-Jun,205,SG,Michigan St.,So.
15, *Atlanta,Dario Saric,10-Jun,225,SF/PF,Croatia,Intl.
16, *Denver,Adreian Payne,10-Jun,240,PF,Michigan St.,Sr.
17, *Boston,Jusuf Nurkic,11-Jun,280,C,Bosnia & Herz...,Intl.
18, *Phoenix,Kyle Anderson,9-Jun,230,SF,UCLA,So.
19, *Denver,Shabazz Napier,Jun-00,175,PG,UConn,Sr.
20, Toronto,Tyler Ennis,2-Jun,180,PG,Syracuse,Fr.
21, *Oklahoma Cty,TJ Warren,8-Jun,220,SF,NC State,So.
22, Memphis,James Young,6-Jun,215,SG,Kentucky,Fr.
23, *Utah,Jordan Adams,5-Jun,209,SG,UCLA,So.
24, *Miami,Glenn Robinson III,7-Jun,211,SF,Michigan,So.
25, Houston,Jordan Clarkson,4-Jun,186,PG/SG,Missouri,Jr.
26, Charlotte,Jarnell Stokes,8-Jun,260,PF,Tennessee,Jr.
27, *Phoenix,Cleanthony Early,7-Jun,210,SF/PF,Wichita State,Sr.
28, LA Clippers,Jerami Grant,8-Jun,214,SF,Syracuse,So.
29, Oklahoma Cty,Clint Capela,11-Jun,222,PF/C,Switzerland,Intl.
30, San Antonio,Bogdan Bogdanovic,6-Jun,205,SG,Serbia,Intl.
31, Milwaukee,CJ Wilcox,5-Jun,201,SG,Washington,Sr.
32, *Philadelphia,KJ McDaniels,6-Jun,196,SF,Clemson,Jr.
33, *Cleveland,PJ Hairston,5-Jun,228,SG,USA,Jr.
34, *New York,Spencer Dinwiddie,6-Jun,205,PG/SG,Colorado,Jr.
35, *Memphis,Vasilje Micic,6-Jun,202,PG,Serbia,Intl.
36, *Milwaukee,Mitch McGary,10-Jun,266,C,Michigan,So.
37, *Toronto,Damien Inglis,9-Jun,240,SF/PF,France,Intl.
38, Detroit,Johnny O'Bryant,8-Jun,257,PF/C,LSU,Jr.
39, *Philadelphia,DeAndre Daniels,8-Jun,195,SF,UConn,Jr.
40, *Minnesota,Markel Brown,4-Jun,185,SG,Oklahoma State,Sr.
41, Denver,Thanasis Antetok...,6-Jun,205,SF,Greece,Intl.
42, *Houston,Dwight Powell,11-Jun,235,PF,Stanford,Sr.
43, Atlanta,Nick Johnson,3-Jun,198,SG,Arizona,Jr.
44, *Brooklyn,Semaj Christon,3-Jun,186,PG,Xavier,So.
45, Charlotte,Khem Birch,9-Jun,209,PF,UNLV,Jr.
46, *LA Lakers,James McAdoo,9-Jun,230,PF,North Carolina,Jr.
47, *New Orleans,Walter Tavares,3-Jul,260,C,Spain,Intl.
48, *Atlanta,Alessandro Gentile,7-Jun,230,SG/SF,Italy,Intl.
49, Chicago,Cameron Bairstow,10-Jun,252,PF,New Mexico,Sr.
50, Phoenix,Artem Klimenko,Jul-00,245,C,Russia,Intl.
51, *New York,Cory Jefferson,9-Jun,220,PF,Baylor,Sr.
52, *Philadelphia,CJ Fair,8-Jun,218,SF,Syracuse,Sr.
53, *Minnesota,Nikola Jokic,11-Jun,255,PF/C,Serbia,Intl.
54, *San Antonio,Alec Brown,1-Jul,231,PF/C,Wisconsin Gre...,Sr.
55, *Charlotte,Jabari Brown,4-Jun,215,SG,Missouri,Jr.
56, *Orlando,DeAndre Kane,4-Jun,200,PG/SG,Iowa St.,Sr.
57, Indiana,Deonte Burton NV,1-Jun,193,PG/SG,Nevada,Sr.
58, *Philadelphia,Joe Harris,6-Jun,215,SG/SF,Virginia,Sr.
59, *Brooklyn,Ronald Roberts,8-Jun,215,PF,St. Joseph's,Sr.
60, *Brooklyn,Nemanja Dangubic,8-Jun,195,SG,Serbia,Intl.
,,,,,,,
2014 Outstanding Trades,,,,,,,
Report Ad,,,,,,,
,,,,,,,
,,,,,,,
Tweets by nbadraftnet,,,,,,,
Sponsored Content,,,,,,,
For professional miners …Supporting pros since…bitkern.com,,,,,,,
,,,,,,,
,,,,,,,
Urologist: Losing Weight…Primal…,,,,,,,
,,,,,,,
,,,,,,,
Muscle After 60: It’s Not…Alpha…,,,,,,,
,,,,,,,
,,,,,,,
15 Of The Most Inappropriate…YourBump,,,,,,,
,,,,,,,
,,,,,,,
Looking for an AttorneySearch Ads,,,,,,,
,,,,,,,
,,,,,,,
Looking for Low Testosterone…Search Ads,,,,,,,
,,,,,,,
,,,,,,,
Abandoned Houses For Sale…Search Ads,,,,,,,
,,,,,,,
,,,,,,,
What’s the #1 Way to…Four Paws,,,,,,,
"© 2022 Sports Phenoms, Inc., All Rights Reserved | This site has no affiliation with the National Basketball Association | Website by SOF, Inc.",,,,,,,
Terms of Use | Privacy Policy,,,,,,,
Go to Top,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Home,,,,,,,
Draft,,,,,,,
,,,,,,,
Rankings,,,,,,,
Articles,,,,,,,
News,,,,,,,
Blogs,,,,,,,
Forum,,,,,,,
Search:,,,,,,,
,,,,,,,
LOGIN,,,,,,,
FacebookTwitter,,,,,,,
